%Aqua Buoy power matrix (kW)	
%Hs (m)	Te (s)
0	5	6	7	8	9	10	11	12	13	14	15	16	17	
1	0	0	8	11	12	11	10	8	7	0	0	0	0
1.5	0	13	17	25	27	26	23	19	15	12	12	12	7
2	0	24	30	44	49	47	41	34	28	23	23	23	12
2.5	0	37	47	69	77	73	64	54	43	36	36	36	19
3	0	54	68	99	111	106	92	77	63	51	51	51	27
3.5	0	0	93	135	152	144	126	105	86	70	70	70	38
4	0	0	0	122	176	198	188	164	137	112	91	91	49
4.5	0	0	0	223	250	239	208	173	142	115	115	115	62
5	0	0	0	250	250	250	250	214	175	142	142	142	77
5.5	0	0	0	250	250	250	250	250	211	172	172	172	92
